tensor([[3.2033]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2640]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5689]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2015]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6588]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1756]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5506]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6760]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0368]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4893]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7578]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5228]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5827]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6283]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3023]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.1612]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2129]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4636]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6054]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[11.8607]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0635]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.4238]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.5168]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1108]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5004]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9773]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8510]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6493]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9201]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8367]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.5338]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0504]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8820]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.8309]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9752]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5912]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6055]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0286]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5334]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8789]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5945]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0484]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6617]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3538]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4076]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1390]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.3346]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8831]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5658]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.1005]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1536]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2066]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7965]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6510]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0721]], device='cuda:0', grad_fn=<SumBackward1>)
